ticker,universe_name,match,sbti_id,company_name,isin,location,near_term_status,near_term_target_classification,net_zero_status,value
A,Agilent Technologies,isin,40012876,"Agilent Technologies, Inc",US00846U1016,United States of America,Targets set,1.5°C,Targets set,4
AAPL,Apple Inc.,isin,40003329,"Apple, Inc.",US0378331005,United States of America,Targets set,1.5°C,,3
ABBV,AbbVie,isin,40009630,AbbVie,US00287Y1091,United States of America,Targets set,1.5°C,,3
ABNB,Airbnb,isin,40002346,"Airbnb, Inc",US0090661010,United States of America,Targets set,1.5°C,,3
ABT,Abbott Laboratories,isin,40011504,Abbott,US0028241000,United States of America,Targets set,Well-below 2°C,,2
ACN,Accenture,isin,40001698,Accenture,IE00B4BNMY34,Ireland,Targets set,1.5°C,Targets set,4
ADBE,Adobe Inc.,isin,40002432,"Adobe, Inc.",US00724F1012,United States of America,Targets set,1.5°C,Targets set,4
ADI,Analog Devices,isin,40000069,"Analog Devices, Inc.",US0326541051,United States of America,Targets set,1.5°C,Commitment removed,3
ADM,Archer Daniels Midland,isin,40002338,Archer Daniels Midland,US0394831020,United States of America,Commitment removed,,,0
ADSK,Autodesk,isin,40006055,"Autodesk, Inc.",US0527691069,United States of America,Targets set,1.5°C,,3
AKAM,Akamai Technologies,isin,40008538,Akamai Technologies INC,US00971T1016,United States of America,Commitment removed,,Commitment removed,0
AMAT,Applied Materials,isin,40007245,Applied Materials,US0382221051,United States of America,Targets set,1.5°C,,3
AMCR,Amcor,name,40001916,Amcor plc,JE00BJ1F3079,Switzerland,Targets set,1.5°C,Targets set,4
AMD,Advanced Micro Devices,isin,40015387,"Advanced Micro Devices, Inc",US0079031078,United States of America,Targets set,Well-below 2°C,,2
AMGN,Amgen,name,40013586,Amgen Inc.,,United States of America,Targets set,1.5°C,,3
AMT,American Tower,isin,40002602,American Tower Corporation,US03027X1000,United States of America,Targets set,Well-below 2°C,,2
AMZN,Amazon,isin,40010768,Amazon,US0231351067,United States of America,Commitment removed,,,0
ANET,Arista Networks,name,40016903,"Arista Networks, Inc.",US0404131064,United States of America,Targets set,1.5°C,Targets set,4
AON,Aon plc,isin,40010894,Aon plc,IE00BLP1HW54,Ireland,Targets set,1.5°C,,3
APTV,Aptiv,name,40005379,Aptiv PLC,JE00B783TY65,Ireland,Targets set,1.5°C,,3
AVGO,Broadcom,isin,40004565,Broadcom Inc.,US11135F1012,United States of America,Commitment removed,,,0
AVY,Avery Dennison,isin,40009028,Avery Dennison Corporation,US0536111091,United States of America,Targets set,1.5°C,,3
AXP,American Express,isin,40011545,American Express Company,US0258161092,United States of America,Targets set,1.5°C,Targets set,4
